rank,asin,title,brand,price,unit_price,count,rating,review_count,timestamp
1,B0739KKHWL,"Nordic Naturals Ultimate Omega, Lemon Flavor - 90 Soft Gels - 1280 mg Omega-3 - High-Potency Omega-3 Fish Oil Supplement with EPA & DHA - Promotes Brain & Heart Health - Non-GMO - 45 Servings",Nordic Naturals,33.3,0.37,90,4.7,58493,2026-05-21T02:10:46Z
2,B07DX89ZHN,Sports Research® Omega-3 Fish Oil 1250 - Triple Strength Fish Oil Supplement from Wild Alaska Pollock - MSC Certified Sustainable · Non-GMO · Soy Free - 90 Softgel Capsules,Sports Research,27.95,0.3106,90,4.7,59513,2026-05-21T02:10:46Z
3,B000NPYY04,"Nature's Bounty Fish Oil Omega 3 Supplements - Supports Heart Health, 1200 Mg Fish Oil, Omega-3, 200 Softgels (Pack of 1)",Nature's Bounty,14.17,0.0708,200,4.7,74988,2026-05-21T02:10:46Z
4,B01NBTJFJB,Triple Strength Omega 3 Fish Oil 3600 mg | EPA & DHA | Over 2100mg Omega-3 Fatty Acids | 1300mg EPA + 860mg DHA | Best Essential Fatty Acids | Premium Wild Caught & Burpless Fish Oil | 120 Ct,,34.95,0.2913,120,4.6,29354,2026-05-21T02:10:46Z
5,B071VT9J98,"Nature Made Fish Oil Omega 3 Supplements, 1200 mg Softgels, Omega 3 Fish Oil for Healthy Heart Support, 230 Softgels, 115 Day Supply",Nature Made,18.39,0.08,230,4.8,10863,2026-05-21T02:10:46Z
6,B0C5F59RWG,"NatureWise Extra-Strength Omega 3 Fish Oil Supplement - 1000mg per Serving - 600 EPA & 400 DHA and Vitamin E - Support for Heart & Brain Health - Lemon Flavor, GMO-Free - 60 Softgels[1-Month Supply]",NatureWise,8.02,0.1337,60,4.7,8951,2026-05-21T02:10:46Z
7,B014LDT0ZM,"Triple Strength Omega 3 Fish Oil Supplement for Men and Women – 2500 mg High-Potency, Easy-to-Absorb Re-esterified Triglyceride Form, Pescatarian-Friendly DPA EPA DHA Omega 3 Supplement, 180 Softgels",,55.9,0.3106,180,4.7,13835,2026-05-21T02:10:46Z
8,B098KLWZHN,"Nutricost Omega 3 Fish Oil - 2500MG, 120 Softgels (40 Serv) - Fish Oil, Wild Caught! 1200mg EPA 850mg DHA - Non-GMO, Gluten Free",Nutricost,19.95,0.1662,120,4.7,3182,2026-05-21T02:10:46Z
9,B01BHF3KRG,"Micro Ingredients Pumpkin Seed Oil with Saw Palmetto,300 Softgels | Cold Pressed, Pure Virgin Oil, Essential Fatty Acids, & Phytosterols | Non-GMO",,34.95,0.1165,300,4.5,5174,2026-05-21T02:10:46Z
10,B0184SMS9A,"MegaRed Antarctic Krill Oil 500mg Omega 3 Fatty Acid Supplement, Extra Strength EPA & DHA Krill Oil Softgels (90cnt Box), Astaxanthin, Heart Health Supplement with No Fish Oil Aftertaste",MegaRed,22.88,,,4.8,7918,2026-05-21T02:10:46Z
